,1.2만,4년 전,와 개좋네        
@user-kf8dh7ii8i,3.7천,4년 전,노엘이 차타면서 뮤비 출연했으면 역대급인데   내 속도는    키로 
@user-pc9uz5gf2s,3천,4년 전,랩이면 랩 노래면 노래 악기면 악기 유머면 유머 투블럭이 잘어울리는 남자      창모
@HOODSTAR-cs2wn,985,4년 전,영비  다 때려 노엘  박어 한요한  범퍼카
@tv-yh6id,2.3천,4년 전(수정됨),요한이형 사랑해
@jungi_225,576,4년 전,한요한 진짜 이런 감성 너무 잘해 으 람보르기니  산산조각  록시땅       까지 말이 필요없다
@ledmundcoo030,96,3년 전,한요한 특 소년만화 갬성이나 새벽갬성 노래들이 많음  근데 그게 딱 내 취향저격이라 개 조아아아아아아아아아아아
@user-zg2hp8us5x,101,3년 전,    분 부분이 레전드   
@user-lo6ti4fo8h,326,4년 전,한여한 존나 부자연스러워      사랑한다 요한아
@user-hd4ic4xs6i,1.6천,4년 전(수정됨),한요한 작곡패턴  헤어졌다    개 슬프고 힙한 띵곡이 나온다    록시땅   불꽃   람보르기니   반복          구석           술마셨다    다른 차원의 텐션의 띵곡이 나온다    헬리콥터  범퍼카   댄스   무드 메이커 호루라기 우사인볼트 
,1.4천,4년 전,고딩때 달고 살던 이모코어의 완벽한 재해석이다 도입부 기타나왔을때 이미 지렸다 한요한이 누구냐
@user-jo9ws6dv3o,40,1년 전,오랜만에 생각나서 들으러 왔다 지금 들어도    개띵곡이네
@user-hp4yr8qo9f,266,4년 전,      내 인생 최고의 고음이다
@user-os4kf4bu3h,52,4년 전(수정됨),와 노래진짜 좋다 초반도입부 진짜 미쳤네요          처음들었을때 기분드네요
@user-pp6tc6iy5g,1.2천,4년 전(수정됨),     잡아땡기네 팬티를
@user-sn6sy2pe1t,458,4년 전,     이부분 너무 좋다
@Destroist,19,1년 전,노래가 진짜 시원한 게 하루 동안 받은 스트레스 다 날라가는 거 같음 
@user-mv1fp7cp1c,40,4년 전,오빠 음악 인생 중에 젤 좋은 노래라고 하더니 진짜 최고야
@63hyun48,3천,4년 전,스윙스        
@user-yk7nd9fo9t,35,3년 전,이 노래 길거리나 친구들이 반에서 틀면 항상 무슨 노랜지 궁금했고 노래 너무 좋아서 무슨 노랜지 진짜 궁금했었는데   네이버에  내 속도는      로 라고 치니까 나와서 오늘만 이노래 몇십번은 들었네요    노래 만들어주셔서 감사합니다 이런 노래류 진짜 정말로 너무 좋아하는데 코로나 때문에 지쳐있던 삶에 이 노래를 접하게되어서 힘이 나네요  
@user-hatsukoi,3.7천,4년 전,이 형 또 음악믿고 얼굴 대충하네
@user-lv6lb5gk1e,116,4년 전,기타 세션맨에서 정규 집을 달리고 있는 요한 오빠  그동안 얼마나 힘들었는지 가늠할 수 없지만 오빠가 힘들었던만큼  아니 그것보다 오조오억배는 더 행복했으면 좋겠어
@user-mp5zd8pn5h,30,4년 전,     요한이형 일렉 계속 반복해서 듣는중 진짜    좋다  
